Frame;Timestamp;Player Position;Player Rotation;Right Hand Position;Right Hand Rotation;Left Hand Position;Left Hand Rotation;Gaze Vector;Gaze Position;Gaze Object Tag;
0;24-03-2022 19:16:24 589;(5.7, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.2, 1.0);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:16:24 603;(5.7, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.2, 1.0);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:16:24 612;(5.7, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.2, 1.0);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:16:24 620;(5.7, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.2, 1.0);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:16:24 628;(5.7, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.2, 1.0);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:16:24 638;(5.7, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.2, 1.0);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:16:24 646;(5.7, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 656;(5.7, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.2, 1.0);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:16:24 668;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 679;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 690;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.1, 1.0);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:16:24 701;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.1, 1.0);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:16:24 712;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 724;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 734;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 745;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 757;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 768;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.1, 1.0);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:16:24 779;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 789;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 802;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 812;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 823;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 834;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 845;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 856;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 868;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.1, 1.0);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:16:24 879;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.2, 1.0);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:16:24 890;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 901;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 912;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 923;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 934;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.1, 1.0);(-3.5, 2.3, -0.5);LookableCube;
0;24-03-2022 19:16:24 945;(5.6, 0.9, -1.7);(0.0, 0.7, 0.0, -0.7);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.2, 1.0);(Infinity, Infinity, Infinity);;
