Frame;Timestamp;Real Hand Position;Real Hand Rotation;Virtual Hand Position;Virtual Hand Rotation;Target;Redirection Technique;Target Real Position;Target Real Rotation;Target Virtual Position;Target Virtual Rotation;Body Position;Body Rotation;
818;07/03/2022 13:18:55 968;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
819;07/03/2022 13:18:55 972;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
820;07/03/2022 13:18:55 977;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
821;07/03/2022 13:18:55 982;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
822;07/03/2022 13:18:55 987;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
823;07/03/2022 13:18:55 991;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
824;07/03/2022 13:18:55 996;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
825;07/03/2022 13:18:56 1;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
826;07/03/2022 13:18:56 6;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
827;07/03/2022 13:18:56 11;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
828;07/03/2022 13:18:56 15;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
829;07/03/2022 13:18:56 20;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
830;07/03/2022 13:18:56 25;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
831;07/03/2022 13:18:56 30;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
832;07/03/2022 13:18:56 35;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
833;07/03/2022 13:18:56 39;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
834;07/03/2022 13:18:56 44;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
835;07/03/2022 13:18:56 49;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
836;07/03/2022 13:18:56 54;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
837;07/03/2022 13:18:56 58;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
838;07/03/2022 13:18:56 63;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
839;07/03/2022 13:18:56 67;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
840;07/03/2022 13:18:56 72;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
841;07/03/2022 13:18:56 77;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
842;07/03/2022 13:18:56 82;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
843;07/03/2022 13:18:56 86;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
844;07/03/2022 13:18:56 91;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
845;07/03/2022 13:18:56 96;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
846;07/03/2022 13:18:56 101;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
847;07/03/2022 13:18:56 106;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
848;07/03/2022 13:18:56 111;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
849;07/03/2022 13:18:56 115;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
850;07/03/2022 13:18:56 120;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
851;07/03/2022 13:18:56 125;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
852;07/03/2022 13:18:56 130;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
853;07/03/2022 13:18:56 135;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
854;07/03/2022 13:18:56 141;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
855;07/03/2022 13:18:56 146;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
856;07/03/2022 13:18:56 151;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
857;07/03/2022 13:18:56 156;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
858;07/03/2022 13:18:56 161;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
859;07/03/2022 13:18:56 166;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
860;07/03/2022 13:18:56 171;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
861;07/03/2022 13:18:56 176;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
862;07/03/2022 13:18:56 182;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
863;07/03/2022 13:18:56 187;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
864;07/03/2022 13:18:56 192;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
865;07/03/2022 13:18:56 197;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
866;07/03/2022 13:18:56 203;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
867;07/03/2022 13:18:56 208;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
868;07/03/2022 13:18:56 213;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
869;07/03/2022 13:18:56 220;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
870;07/03/2022 13:18:56 224;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
871;07/03/2022 13:18:56 229;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
872;07/03/2022 13:18:56 234;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
873;07/03/2022 13:18:56 243;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
874;07/03/2022 13:18:56 247;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
875;07/03/2022 13:18:56 252;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
876;07/03/2022 13:18:56 256;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
877;07/03/2022 13:18:56 261;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
878;07/03/2022 13:18:56 266;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
879;07/03/2022 13:18:56 270;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
880;07/03/2022 13:18:56 275;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
881;07/03/2022 13:18:56 281;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
882;07/03/2022 13:18:56 286;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
883;07/03/2022 13:18:56 291;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
884;07/03/2022 13:18:56 297;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
885;07/03/2022 13:18:56 308;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
886;07/03/2022 13:18:56 314;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
887;07/03/2022 13:18:56 319;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
888;07/03/2022 13:18:56 325;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
889;07/03/2022 13:18:56 330;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
890;07/03/2022 13:18:56 335;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
891;07/03/2022 13:18:56 340;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
892;07/03/2022 13:18:56 345;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
893;07/03/2022 13:18:56 350;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
894;07/03/2022 13:18:56 355;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
895;07/03/2022 13:18:56 360;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
896;07/03/2022 13:18:56 365;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
897;07/03/2022 13:18:56 370;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
898;07/03/2022 13:18:56 376;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
899;07/03/2022 13:18:56 380;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
900;07/03/2022 13:18:56 385;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
901;07/03/2022 13:18:56 390;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
902;07/03/2022 13:18:56 395;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
903;07/03/2022 13:18:56 399;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
904;07/03/2022 13:18:56 404;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
905;07/03/2022 13:18:56 409;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
906;07/03/2022 13:18:56 413;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
907;07/03/2022 13:18:56 418;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
908;07/03/2022 13:18:56 423;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
909;07/03/2022 13:18:56 427;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
910;07/03/2022 13:18:56 436;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
911;07/03/2022 13:18:56 441;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
912;07/03/2022 13:18:56 447;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
913;07/03/2022 13:18:56 451;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
914;07/03/2022 13:18:56 456;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
915;07/03/2022 13:18:56 461;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
916;07/03/2022 13:18:56 466;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
917;07/03/2022 13:18:56 874;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
918;07/03/2022 13:18:56 881;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
919;07/03/2022 13:18:56 887;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
