Frame;Timestamp;Real Hand Position;Real Hand Rotation;Virtual Hand Position;Virtual Hand Rotation;Target;Redirection Technique;Target Real Position;Target Real Rotation;Target Virtual Position;Target Virtual Rotation;Body Position;Body Rotation;
22;07/03/2022 13:18:51 671;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
23;07/03/2022 13:18:51 675;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
24;07/03/2022 13:18:51 680;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
25;07/03/2022 13:18:51 685;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
26;07/03/2022 13:18:51 690;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
27;07/03/2022 13:18:51 695;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
28;07/03/2022 13:18:51 700;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
29;07/03/2022 13:18:51 705;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
30;07/03/2022 13:18:51 710;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
31;07/03/2022 13:18:51 715;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
32;07/03/2022 13:18:51 719;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
33;07/03/2022 13:18:51 724;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
34;07/03/2022 13:18:51 729;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
35;07/03/2022 13:18:51 733;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
36;07/03/2022 13:18:51 738;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
37;07/03/2022 13:18:51 743;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
38;07/03/2022 13:18:51 748;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
39;07/03/2022 13:18:51 753;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
40;07/03/2022 13:18:51 757;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
41;07/03/2022 13:18:51 762;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
42;07/03/2022 13:18:51 767;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
43;07/03/2022 13:18:51 779;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
44;07/03/2022 13:18:51 786;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
45;07/03/2022 13:18:51 791;(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);(0.0, -0.3, 0.0);(0.0, 0.0, 0.0, 1.0);---;---;---;---;---;---;(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
