Frame;Timestamp;Player Position;Player Rotation;Right Hand Position;Right Hand Rotation;Left Hand Position;Left Hand Rotation;Gaze Vector;Gaze Position;Gaze Object Tag;
0;24-03-2022 19:20:38 929;(5.9990, 0.9981, -1.8992);(-0.0560, 0.8933, 0.3698, 0.2492);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:38 941;(5.9980, 0.9981, -1.8994);(-0.0534, 0.8943, 0.3697, 0.2463);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:38 952;(5.9968, 0.9979, -1.8995);(-0.0514, 0.8955, 0.3691, 0.2433);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:38 963;(5.9960, 0.9977, -1.8999);(-0.0497, 0.8966, 0.3688, 0.2401);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:38 974;(5.9946, 0.9973, -1.9001);(-0.0488, 0.8976, 0.3687, 0.2367);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:38 985;(5.9936, 0.9969, -1.9004);(-0.0482, 0.8985, 0.3686, 0.2332);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:38 996;(5.9923, 0.9965, -1.9008);(-0.0477, 0.8996, 0.3682, 0.2299);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 7;(5.9917, 0.9958, -1.9014);(-0.0473, 0.9010, 0.3669, 0.2264);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 19;(5.9905, 0.9951, -1.9018);(-0.0466, 0.9027, 0.3649, 0.2230);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
0;24-03-2022 19:20:39 30;(5.9896, 0.9942, -1.9025);(-0.0456, 0.9046, 0.3623, 0.2199);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(0.0000, 0.0000, 0.0000);(0.0000, 0.0000, 0.0000, 1.0000);(-1.0000, -1.0000, -1.0000);(Infinity, Infinity, Infinity);;
