frame,time,player_pos_x,player_pos_y,player_pos_z,player_up_x,player_up_y,player_up_z,rel_r_hand_x,rel_r_hand_y,rel_r_hand_z,r_hand_up_x,r_hand_up_y,r_hand_up_z,gaze_vec_x,gaze_vec_y,gaze_vec_z,gaze_p_x,gaze_p_y,gaze_p_z,obj_tag,obj_interacted_with,gaze_to_screen_x,gaze_to_screen_y,gaze_to_screen_z,obj_interacted_with
20;08-04-2022 13:44:52 429;-2,0149;1,2750;1,3274;0,0333;0,9478;0,3172;0,1729;0,0662;-0,0160;0,5293;-0,2913;-0,7968;0,0610;0,1842;0,9810;-1,9760;1,0710;2,2380;5;1.181,5870;1.481,6420;0,9278;0
21;08-04-2022 13:44:52 440;-2,0153;1,2749;1,3272;0,0401;0,9476;0,3170;0,1728;0,0672;-0,0151;0,5611;-0,2761;-0,7804;0,0519;0,1835;0,9816;-1,9760;1,0710;2,2380;5;1.185,6220;1.481,8910;0,9282;0
22;08-04-2022 13:44:52 451;-2,0155;1,2749;1,3276;0,0472;0,9496;0,3099;0,1728;0,0687;-0,0137;0,5885;-0,2597;-0,7657;0,0572;0,1975;0,9786;-1,9760;1,0710;2,2380;5;1.186,1990;1.474,1930;0,9285;0
23;08-04-2022 13:44:52 462;-2,0160;1,2751;1,3276;0,0528;0,9514;0,3033;0,1730;0,0698;-0,0124;0,6044;-0,2479;-0,7571;0,0479;0,1950;0,9796;-1,9760;1,0710;2,2380;5;1.189,2530;1.466,8220;0,9293;0
24;08-04-2022 13:44:52 473;-2,0158;1,2753;1,3273;0,0547;0,9521;0,3009;0,1728;0,0701;-0,0114;0,6034;-0,2420;-0,7599;0,0665;0,1656;0,9839;-1,9760;1,0710;2,2380;5;1.192,1660;1.463,9560;0,9299;0
25;08-04-2022 13:44:52 484;-2,0163;1,2756;1,3272;0,0551;0,9521;0,3009;0,1738;0,0699;-0,0115;0,6053;-0,2400;-0,7589;0,0734;0,1401;0,9874;-1,9760;1,0710;2,2380;5;1.198,4650;1.463,7170;0,9303;0
26;08-04-2022 13:44:52 495;-2,0160;1,2755;1,3267;0,0539;0,9520;0,3013;0,1749;0,0697;-0,0123;0,6083;-0,2430;-0,7556;0,0874;0,1188;0,9890;-1,9760;1,0710;2,2380;5;1.205,5700;1.464,3270;0,9309;0
27;08-04-2022 13:44:52 506;-2,0159;1,2752;1,3265;0,0453;0,9522;0,3020;0,1879;0,0652;-0,0140;0,6141;-0,2475;-0,7494;0,0651;0,1165;0,9910;-1,9760;1,0710;2,2380;5;1.206,5480;1.464,9180;0,9310;0
28;08-04-2022 13:44:52 517;-2,0149;1,2748;1,3263;0,0368;0,9526;0,3021;0,1888;0,0635;-0,0136;0,6185;-0,2492;-0,7452;0,0647;0,1126;0,9915;-1,9760;1,0710;2,2380;5;1.202,2080;1.465,0930;0,9310;0
29;08-04-2022 13:44:52 528;-2,0148;1,2748;1,3264;0,0294;0,9535;0,3000;0,2033;0,0588;-0,0153;0,6203;-0,2533;-0,7424;0,0577;0,1082;0,9924;-1,9760;1,0710;2,2380;5;1.202,0940;1.462,2390;0,9311;0
30;08-04-2022 13:44:52 540;-2,0175;1,2758;1,3267;0,0218;0,9548;0,2964;0,2147;0,0524;-0,0138;0,6236;-0,2550;-0,7390;0,0594;0,1089;0,9923;-1,9760;1,0710;2,2380;5;1.204,7180;1.456,6440;0,9316;0
31;08-04-2022 13:44:52 551;-2,0172;1,2756;1,3266;0,0132;0,9557;0,2942;0,2161;0,0501;-0,0144;0,6238;-0,2580;-0,7378;0,0691;0,0891;0,9936;-1,9760;1,0710;2,2380;5;1.205,0680;1.454,0170;0,9318;0
32;08-04-2022 13:44:52 562;-2,0189;1,2759;1,3266;0,0039;0,9548;0,2973;0,2198;0,0470;-0,0157;0,6205;-0,2630;-0,7388;0,0596;0,0916;0,9940;-1,9760;1,0710;2,2380;5;1.207,6220;1.456,6180;0,9318;0
33;08-04-2022 13:44:52 573;-2,0177;1,2759;1,3266;-0,0026;0,9541;0,2996;0,2203;0,0449;-0,0164;0,6176;-0,2681;-0,7394;0,0549;0,0920;0,9942;-1,9760;1,0710;2,2380;5;1.204,7020;1.459,0220;0,9315;0
34;08-04-2022 13:44:52 584;-2,0176;1,2762;1,3267;-0,0091;0,9536;0,3010;0,2224;0,0427;-0,0170;0,6135;-0,2749;-0,7403;0,0699;0,3795;0,9225;Infinity;Infinity;Infinity;0;0,0000;0,0000;0,0000;0
35;08-04-2022 13:44:52 595;-2,0165;1,2762;1,3270;-0,0131;0,9538;0,3001;0,2233;0,0415;-0,0177;0,6066;-0,2817;-0,7435;0,0435;0,4052;0,9132;Infinity;Infinity;Infinity;0;0,0000;0,0000;0,0000;0
36;08-04-2022 13:44:52 606;-2,0166;1,2767;1,3274;-0,0173;0,9550;0,2960;0,2251;0,0405;-0,0188;0,5995;-0,2881;-0,7467;0,0527;0,0656;0,9964;-1,9760;1,0710;2,2380;5;1.198,1840;1.453,1670;0,9311;0
37;08-04-2022 13:44:52 618;-2,0194;1,2775;1,3283;-0,0223;0,9564;0,2912;0,2298;0,0382;-0,0199;0,5951;-0,2929;-0,7484;0,0432;0,3818;0,9232;Infinity;Infinity;Infinity;0;0,0000;0,0000;0,0000;0
38;08-04-2022 13:44:52 628;-2,0199;1,2779;1,3287;-0,0251;0,9578;0,2865;0,2315;0,0367;-0,0206;0,5970;-0,2950;-0,7460;0,0472;0,0861;0,9952;-1,9760;1,0710;2,2380;5;1.204,2530;1.440,3260;0,9312;0
39;08-04-2022 13:44:52 640;-2,0221;1,2789;1,3293;-0,0282;0,9587;0,2832;0,2359;0,0343;-0,0225;0,6014;-0,2952;-0,7424;0,0155;0,3971;0,9176;Infinity;Infinity;Infinity;0;0,0000;0,0000;0,0000;0
40;08-04-2022 13:44:52 651;-2,0192;1,2787;1,3287;-0,0310;0,9596;0,2798;0,2338;0,0341;-0,0243;0,6042;-0,2951;-0,7402;0,0943;-0,1363;0,9862;Infinity;Infinity;Infinity;0;0,0000;0,0000;0,0000;0
41;08-04-2022 13:44:52 662;-2,0196;1,2792;1,3290;-0,0336;0,9601;0,2776;0,2362;0,0325;-0,0266;0,6033;-0,2972;-0,7401;0,0390;0,3757;0,9259;Infinity;Infinity;Infinity;0;0,0000;0,0000;0,0000;0
42;08-04-2022 13:44:52 673;-2,0213;1,2799;1,3295;-0,0356;0,9611;0,2739;0,2385;0,0310;-0,0292;0,5975;-0,3009;-0,7432;0,0068;0,2867;0,9580;Infinity;Infinity;Infinity;0;0,0000;0,0000;0,0000;0
43;08-04-2022 13:44:52 684;-2,0219;1,2802;1,3299;-0,0335;0,9633;0,2664;0,2394;0,0315;-0,0309;0,5846;-0,3050;-0,7518;0,0031;0,2832;0,9591;Infinity;Infinity;Infinity;0;0,0000;0,0000;0,0000;0
44;08-04-2022 13:44:52 695;-2,0232;1,2812;1,3305;-0,0353;0,9645;0,2619;0,2411;0,0310;-0,0323;0,5700;-0,3042;-0,7633;0,0484;0,3424;0,9383;Infinity;Infinity;Infinity;0;0,0000;0,0000;0,0000;0
45;08-04-2022 13:44:52 706;-2,0238;1,2820;1,3309;-0,0355;0,9662;0,2553;0,2430;0,0306;-0,0336;0,5728;-0,3040;-0,7612;0,0406;0,3517;0,9352;Infinity;Infinity;Infinity;0;0,0000;0,0000;0,0000;0
46;08-04-2022 13:44:52 717;-2,0230;1,2823;1,3306;-0,0360;0,9679;0,2487;0,2413;0,0320;-0,0352;0,5718;-0,3050;-0,7616;0,0516;0,3473;0,9363;Infinity;Infinity;Infinity;0;0,0000;0,0000;0,0000;0
47;08-04-2022 13:44:52 728;-2,0234;1,2827;1,3309;-0,0372;0,9694;0,2427;0,2427;0,0315;-0,0365;0,5703;-0,3045;-0,7629;0,0742;0,3251;0,9427;Infinity;Infinity;Infinity;0;0,0000;0,0000;0,0000;0
48;08-04-2022 13:44:52 740;-2,0224;1,2827;1,3306;-0,0385;0,9701;0,2394;0,2400;0,0319;-0,0358;0,5693;-0,3050;-0,7634;-0,0058;0,3299;0,9440;Infinity;Infinity;Infinity;0;0,0000;0,0000;0,0000;0
49;08-04-2022 13:44:52 751;-2,0221;1,2829;1,3303;-0,0395;0,9707;0,2371;0,2409;0,0316;-0,0362;0,5688;-0,3049;-0,7639;0,0269;0,0337;0,9991;-1,9760;1,0710;2,2380;5;1.259,2890;1.378,7480;0,9329;0
50;08-04-2022 13:44:52 762;-2,0224;1,2834;1,3304;-0,0400;0,9717;0,2330;0,2406;0,0312;-0,0364;0,5672;-0,3054;-0,7649;0,0589;0,2293;0,9716;Infinity;Infinity;Infinity;0;0,0000;0,0000;0,0000;0
51;08-04-2022 13:44:52 773;-2,0226;1,2838;1,3303;-0,0398;0,9728;0,2281;0,2420;0,0308;-0,0369;0,5644;-0,3066;-0,7664;0,0370;0,0263;0,9990;-1,9760;1,0710;2,2380;5;1.265,2540;1.367,9700;0,9330;0
52;08-04-2022 13:44:52 785;-2,0229;1,2842;1,3303;-0,0388;0,9739;0,2238;0,2405;0,0310;-0,0363;0,5582;-0,3091;-0,7700;0,0697;0,0146;0,9975;-1,9760;1,0710;2,2380;5;1.266,1250;1.362,8200;0,9331;0
53;08-04-2022 13:44:52 796;-2,0226;1,2848;1,3301;-0,0391;0,9746;0,2207;0,2392;0,0311;-0,0361;0,5501;-0,3134;-0,7740;0,0660;0,0112;0,9977;-1,9760;1,0710;2,2380;5;1.265,9490;1.358,8100;0,9334;0
54;08-04-2022 13:44:52 808;-2,0228;1,2853;1,3301;-0,0398;0,9752;0,2178;0,2413;0,0301;-0,0360;0,5437;-0,3170;-0,7771;0,0570;-0,0017;0,9984;-1,9760;1,0710;2,2380;5;1.265,8350;1.355,0490;0,9335;0
55;08-04-2022 13:44:52 819;-2,0224;1,2856;1,3298;-0,0391;0,9758;0,2152;0,2412;0,0303;-0,0350;0,5395;-0,3210;-0,7784;0,0558;-0,0056;0,9984;-1,9760;1,0710;2,2380;5;1.263,3820;1.351,9390;0,9339;0
56;08-04-2022 13:44:52 830;-2,0223;1,2859;1,3297;-0,0385;0,9766;0,2116;0,2434;0,0299;-0,0345;0,5365;-0,3236;-0,7794;0,0530;-0,0081;0,9986;-1,9760;1,0710;2,2380;5;1.262,0260;1.347,6950;0,9341;0
57;08-04-2022 13:44:52 842;-2,0224;1,2863;1,3296;-0,0389;0,9774;0,2080;0,2437;0,0293;-0,0333;0,5316;-0,3256;-0,7819;0,0515;0,0024;0,9987;-1,9760;1,0710;2,2380;5;1.260,7560;1.343,2790;0,9341;0
58;08-04-2022 13:44:52 853;-2,0228;1,2870;1,3295;-0,0390;0,9782;0,2041;0,2464;0,0283;-0,0327;0,5234;-0,3277;-0,7866;0,0372;-0,0060;0,9993;-1,9760;1,0710;2,2380;5;1.260,2770;1.338,3790;0,9343;0
