frame;time;player_pos_x;player_pos_y;player_pos_z;player_up_x;player_up_y;player_up_z;rel_r_hand_x;rel_r_hand_y;rel_r_hand_z;r_hand_up_x;r_hand_up_y;r_hand_up_z;gaze_vec_x;gaze_vec_y;gaze_vec_z;gaze_p_x;gaze_p_y;gaze_p_z;obj_tag;gaze_to_screen_x;gaze_to_screen_y;gaze_to_screen_z;obj_interacted_with
1;08-04-2022 18:07:15 305;-2,0546;1,2753;1,2945;-0,0275;0,9744;0,2230;0,1943;-0,3271;0,4969;-0,0049;0,9833;-0,1821;-0,0687;-0,1451;0,9870;-2,5000;0,0000;2,5000;0;732,8266;629,2195;1,3892;5
2;08-04-2022 18:07:15 324;-2,0543;1,2754;1,2944;-0,0274;0,9745;0,2225;0,1937;-0,3271;0,4969;-0,0049;0,9832;-0,1823;-0,0740;-0,1382;0,9876;-2,5000;0,0000;2,5000;0;731,8826;628,2587;1,3885;0
3;08-04-2022 18:07:15 336;-2,0544;1,2754;1,2944;-0,0274;0,9746;0,2222;0,1937;-0,3273;0,4969;-0,0050;0,9832;-0,1823;-0,0622;-0,1466;0,9872;-2,5000;0,0000;2,5000;0;731,5901;627,6312;1,3881;0
4;08-04-2022 18:07:15 345;-2,0545;1,2754;1,2944;-0,0273;0,9746;0,2221;0,1932;-0,3272;0,4968;-0,0049;0,9832;-0,1823;0,0850;-0,1300;0,9879;-1,9760;1,0710;2,2380;5;1.185,9630;1.379,0070;0,9677;0
5;08-04-2022 18:07:15 354;-2,0544;1,2754;1,2943;-0,0272;0,9747;0,2218;0,1923;-0,3267;0,4966;-0,0046;0,9832;-0,1823;0,0835;-0,1321;0,9877;-1,9760;1,0710;2,2380;5;1.185,5660;1.378,7750;0,9677;0
6;08-04-2022 18:07:15 364;-2,0544;1,2755;1,2943;-0,0270;0,9747;0,2218;0,1923;-0,3266;0,4966;-0,0047;0,9832;-0,1824;0,0843;-0,1290;0,9881;-1,9760;1,0710;2,2380;5;1.185,4410;1.378,7950;0,9678;0
7;08-04-2022 18:07:15 376;-2,0541;1,2754;1,2941;-0,0268;0,9748;0,2215;0,1918;-0,3266;0,4968;-0,0047;0,9832;-0,1824;0,0843;-0,1320;0,9876;-1,9760;1,0710;2,2380;5;1.184,6960;1.378,5330;0,9678;0
8;08-04-2022 18:07:15 386;-2,0541;1,2755;1,2941;-0,0268;0,9748;0,2213;0,1918;-0,3267;0,4967;-0,0050;0,9832;-0,1824;0,0863;-0,1319;0,9875;-1,9760;1,0710;2,2380;5;1.184,5610;1.378,2960;0,9679;0
9;08-04-2022 18:07:15 398;-2,0539;1,2754;1,2941;-0,0268;0,9749;0,2212;0,1908;-0,3264;0,4966;-0,0050;0,9832;-0,1824;0,0275;-0,1424;0,9894;-1,9760;1,0710;2,2380;5;1.184,0580;1.378,2100;0,9678;0
10;08-04-2022 18:07:15 409;-2,0538;1,2755;1,2940;-0,0268;0,9749;0,2209;0,1906;-0,3265;0,4966;-0,0049;0,9832;-0,1823;0,0201;-0,1439;0,9894;-1,9760;1,0710;2,2380;5;1.183,7300;1.377,8460;0,9679;0
11;08-04-2022 18:07:15 419;-2,0538;1,2755;1,2940;-0,0269;0,9750;0,2204;0,1906;-0,3268;0,4965;-0,0049;0,9832;-0,1823;0,0173;-0,1437;0,9895;-1,9760;1,0710;2,2380;5;1.183,6240;1.377,2050;0,9679;0
12;08-04-2022 18:07:15 431;-2,0536;1,2755;1,2940;-0,0269;0,9751;0,2202;0,1903;-0,3268;0,4965;-0,0048;0,9832;-0,1824;0,0150;-0,1447;0,9893;-1,9760;1,0710;2,2380;5;1.183,2170;1.377,1360;0,9679;0
13;08-04-2022 18:07:15 442;-2,0536;1,2755;1,2940;-0,0270;0,9752;0,2198;0,1904;-0,3273;0,4964;-0,0047;0,9832;-0,1824;0,0141;-0,1441;0,9895;-1,9760;1,0710;2,2380;5;1.183,0620;1.376,6080;0,9679;0
14;08-04-2022 18:07:15 453;-2,0533;1,2755;1,2939;-0,0270;0,9753;0,2194;0,1901;-0,3274;0,4963;-0,0048;0,9832;-0,1825;0,0132;-0,1452;0,9893;-1,9760;1,0710;2,2380;5;1.182,6820;1.376,1430;0,9680;0
15;08-04-2022 18:07:15 464;-2,0534;1,2756;1,2939;-0,0271;0,9754;0,2188;0,1903;-0,3278;0,4962;-0,0049;0,9832;-0,1823;0,0141;-0,1444;0,9894;-1,9760;1,0710;2,2380;5;1.182,7300;1.375,5150;0,9680;0
16;08-04-2022 18:07:15 475;-2,0536;1,2757;1,2940;-0,0272;0,9755;0,2185;0,1902;-0,3280;0,4960;-0,0050;0,9832;-0,1822;0,0137;-0,1460;0,9892;-1,9760;1,0710;2,2380;5;1.182,9320;1.374,9940;0,9680;0
17;08-04-2022 18:07:15 486;-2,0535;1,2757;1,2939;-0,0273;0,9756;0,2180;0,1899;-0,3283;0,4959;-0,0048;0,9832;-0,1822;0,0143;-0,1461;0,9892;-1,9760;1,0710;2,2380;5;1.182,6650;1.374,4520;0,9680;0
18;08-04-2022 18:07:15 498;-2,0535;1,2757;1,2939;-0,0274;0,9757;0,2174;0,1903;-0,3289;0,4960;-0,0049;0,9833;-0,1820;0,0116;-0,1469;0,9891;-1,9760;1,0710;2,2380;5;1.182,5360;1.373,7750;0,9680;0
19;08-04-2022 18:07:15 508;-2,0537;1,2758;1,2939;-0,0274;0,9758;0,2170;0,1905;-0,3292;0,4959;-0,0049;0,9833;-0,1818;0,0103;-0,1470;0,9891;-1,9760;1,0710;2,2380;5;1.182,6790;1.373,2050;0,9680;0
20;08-04-2022 18:07:15 520;-2,0537;1,2759;1,2939;-0,0275;0,9759;0,2164;0,1898;-0,3294;0,4956;-0,0052;0,9834;-0,1816;0,0078;-0,1473;0,9890;-1,9760;1,0710;2,2380;5;1.182,5940;1.372,4260;0,9681;0
21;08-04-2022 18:07:15 531;-2,0534;1,2759;1,2938;-0,0278;0,9761;0,2157;0,1894;-0,3298;0,4955;-0,0059;0,9835;-0,1808;0,0007;-0,1365;0,9906;-1,9760;1,0710;2,2380;5;1.182,2340;1.371,6970;0,9682;0
22;08-04-2022 18:07:15 542;-2,0534;1,2760;1,2937;-0,0278;0,9762;0,2150;0,1896;-0,3306;0,4953;-0,0053;0,9835;-0,1807;0,0235;-0,1154;0,9930;-1,9760;1,0710;2,2380;5;1.182,0430;1.370,8300;0,9682;0
23;08-04-2022 18:07:15 553;-2,0534;1,2761;1,2937;-0,0278;0,9764;0,2140;0,1893;-0,3308;0,4950;-0,0049;0,9835;-0,1808;0,0400;-0,0881;0,9953;-1,9760;1,0710;2,2380;5;1.181,8910;1.369,6850;0,9683;0
24;08-04-2022 18:07:15 564;-2,0534;1,2762;1,2936;-0,0280;0,9767;0,2129;0,1891;-0,3315;0,4947;-0,0046;0,9835;-0,1809;0,0396;-0,0188;0,9990;-1,9760;1,0710;2,2380;5;1.181,7610;1.368,3180;0,9683;0
25;08-04-2022 18:07:15 575;-2,0534;1,2763;1,2934;-0,0280;0,9769;0,2116;0,1893;-0,3323;0,4947;-0,0052;0,9835;-0,1811;-0,0888;0,0156;0,9959;-1,9760;1,0710;2,2380;5;1.181,4620;1.366,8320;0,9685;0
26;08-04-2022 18:07:15 586;-2,0534;1,2765;1,2933;-0,0282;0,9772;0,2105;0,1892;-0,3330;0,4945;-0,0057;0,9835;-0,1811;-0,0623;0,0278;0,9977;-1,9760;1,0710;2,2380;5;1.181,2710;1.365,4600;0,9687;0
27;08-04-2022 18:07:15 597;-2,0534;1,2766;1,2933;-0,0283;0,9774;0,2093;0,1886;-0,3336;0,4941;-0,0056;0,9835;-0,1810;-0,0741;0,0685;0,9949;-1,9760;1,0710;2,2380;5;1.180,8540;1.364,0090;0,9687;0
28;08-04-2022 18:07:15 608;-2,0536;1,2768;1,2933;-0,0286;0,9776;0,2083;0,1888;-0,3343;0,4938;-0,0051;0,9835;-0,1808;-0,0784;0,0811;0,9936;-1,9760;1,0710;2,2380;5;1.181,0670;1.362,6650;0,9688;0
29;08-04-2022 18:07:15 619;-2,0537;1,2770;1,2932;-0,0287;0,9779;0,2071;0,1888;-0,3351;0,4936;-0,0045;0,9835;-0,1810;-0,0544;0,0868;0,9947;-1,9760;1,0710;2,2380;5;1.180,7680;1.361,2370;0,9689;0
30;08-04-2022 18:07:15 631;-2,0537;1,2772;1,2930;-0,0289;0,9781;0,2062;0,1886;-0,3357;0,4936;-0,0046;0,9835;-0,1809;-0,0623;0,0874;0,9942;-1,9760;1,0710;2,2380;5;1.180,4760;1.360,0290;0,9691;0
31;08-04-2022 18:07:15 642;-2,0537;1,2773;1,2929;-0,0292;0,9783;0,2050;0,1887;-0,3364;0,4933;-0,0051;0,9834;-0,1812;-0,0575;0,0857;0,9947;-1,9760;1,0710;2,2380;5;1.180,3980;1.358,6290;0,9692;0
32;08-04-2022 18:07:15 653;-2,0539;1,2775;1,2928;-0,0292;0,9785;0,2040;0,1881;-0,3367;0,4929;-0,0048;0,9834;-0,1813;-0,0541;0,0819;0,9952;-1,9760;1,0710;2,2380;5;1.180,5140;1.357,2930;0,9693;0
33;08-04-2022 18:07:15 664;-2,0539;1,2776;1,2927;-0,0294;0,9787;0,2031;0,1881;-0,3373;0,4927;-0,0047;0,9834;-0,1815;-0,0553;0,0817;0,9951;-1,9760;1,0710;2,2380;5;1.180,5310;1.356,1850;0,9695;0
34;08-04-2022 18:07:15 675;-2,0537;1,2777;1,2925;-0,0296;0,9789;0,2022;0,1869;-0,3374;0,4925;-0,0048;0,9834;-0,1814;-0,0578;0,0821;0,9949;-1,9760;1,0710;2,2380;5;1.179,9480;1.355,1360;0,9696;0
35;08-04-2022 18:07:15 686;-2,0536;1,2777;1,2923;-0,0295;0,9791;0,2013;0,1868;-0,3379;0,4924;-0,0048;0,9835;-0,1810;-0,0565;0,0806;0,9951;-1,9760;1,0710;2,2380;5;1.179,8800;1.354,1820;0,9698;0
