frame,time,player_pos_x,player_pos_y,player_pos_z,player_up_x,player_up_y,player_up_z,rel_r_hand_x,rel_r_hand_y,rel_r_hand_z,r_hand_up_x,r_hand_up_y,r_hand_up_z,gaze_vec_x,gaze_vec_y,gaze_vec_z,gaze_p_x,gaze_p_y,gaze_p_z,obj_tag,obj_interacted_with,gaze_to_screen_x,gaze_to_screen_y,gaze_to_screen_z,obj_interacted_with
1;08-04-2022 18:17:13 555;-2,0769;1,3570;1,3099;0,0112;0,9979;-0,0640;0,2349;-0,2538;0,1541;0,1397;0,3968;-0,9072;0,2843;0,2070;0,9361;-2,5130;1,7350;1,8890;1;904,9123;1.873,3270;0,7127;5
2;08-04-2022 18:17:13 572;-2,0782;1,3572;1,3096;0,0120;0,9978;-0,0650;0,2383;-0,2539;0,1505;0,1422;0,3962;-0,9071;0,2738;0,2034;0,9400;-2,5130;1,7350;1,8890;1;922,9467;1.869,4230;0,7159;0
3;08-04-2022 18:17:13 583;-2,0787;1,3572;1,3094;0,0124;0,9978;-0,0651;0,2396;-0,2539;0,1493;0,1427;0,3961;-0,9071;0,2563;0,2012;0,9454;-2,5130;1,7350;1,8890;1;929,8231;1.868,1960;0,7171;0
4;08-04-2022 18:17:13 594;-2,0793;1,3573;1,3093;0,0126;0,9978;-0,0654;0,2409;-0,2539;0,1481;0,1429;0,3961;-0,9070;0,2488;0,1980;0,9481;-2,5130;1,7350;1,8890;1;936,4279;1.866,8800;0,7182;0
5;08-04-2022 18:17:13 605;-2,0797;1,3573;1,3091;0,0127;0,9978;-0,0655;0,2426;-0,2542;0,1468;0,1423;0,3961;-0,9071;0,2392;0,2007;0,9500;-2,5130;1,7350;1,8890;1;941,3961;1.866,1030;0,7190;0
6;08-04-2022 18:17:13 616;-2,0802;1,3574;1,3092;0,0127;0,9978;-0,0656;0,2438;-0,2543;0,1457;0,1422;0,3961;-0,9071;0,2389;0,1986;0,9505;-2,5130;1,7350;1,8890;1;946,2776;1.865,6020;0,7195;0
7;08-04-2022 18:17:13 628;-2,0807;1,3574;1,3092;0,0126;0,9978;-0,0655;0,2446;-0,2543;0,1450;0,1419;0,3962;-0,9071;0,2246;0,1972;0,9543;-2,5130;1,7350;1,8890;1;949,8506;1.865,6340;0,7197;0
8;08-04-2022 18:17:13 638;-2,0810;1,3574;1,3092;0,0124;0,9978;-0,0653;0,2453;-0,2542;0,1444;0,1422;0,3960;-0,9072;0,2262;0,1950;0,9544;-2,5130;1,7350;1,8890;1;952,5813;1.865,6790;0,7200;0
9;08-04-2022 18:17:13 649;-2,0811;1,3575;1,3092;0,0120;0,9978;-0,0652;0,2454;-0,2542;0,1442;0,1430;0,3959;-0,9071;0,2168;0,1965;0,9562;-2,5130;1,7350;1,8890;1;954,6269;1.865,8530;0,7201;0
10;08-04-2022 18:17:13 660;-2,0813;1,3575;1,3091;0,0117;0,9978;-0,0649;0,2455;-0,2539;0,1441;0,1440;0,3957;-0,9070;0,2153;0,1974;0,9564;-2,5130;1,7350;1,8890;1;956,2408;1.866,3990;0,7201;0
11;08-04-2022 18:17:13 671;-2,0816;1,3575;1,3092;0,0109;0,9978;-0,0648;0,2456;-0,2540;0,1439;0,1447;0,3955;-0,9070;0,2104;0,2032;0,9562;-2,5130;1,7350;1,8890;1;957,3593;1.867,1250;0,7199;0
12;08-04-2022 18:17:13 682;-2,0817;1,3574;1,3093;0,0102;0,9979;-0,0647;0,2455;-0,2540;0,1440;0,1450;0,3954;-0,9070;0,2139;0,1969;0,9568;-2,5130;1,7350;1,8890;1;957,9233;1.867,8300;0,7198;0
13;08-04-2022 18:17:13 694;-2,0813;1,3572;1,3092;0,0097;0,9979;-0,0645;0,2449;-0,2537;0,1443;0,1442;0,3953;-0,9071;0,2045;0,1976;0,9587;-2,5130;1,7350;1,8890;1;957,2580;1.868,6920;0,7197;0
14;08-04-2022 18:17:13 705;-2,0813;1,3572;1,3093;0,0088;0,9979;-0,0643;0,2444;-0,2537;0,1446;0,1434;0,3950;-0,9074;0,2228;0,2081;0,9524;-2,5130;1,7350;1,8890;1;956,7463;1.869,7400;0,7194;0
15;08-04-2022 18:17:13 716;-2,0811;1,3570;1,3093;0,0082;0,9979;-0,0642;0,2440;-0,2537;0,1449;0,1437;0,3949;-0,9074;0,2476;0,2175;0,9441;-2,5130;1,7350;1,8890;1;955,5394;1.870,6970;0,7191;0
16;08-04-2022 18:17:13 727;-2,0812;1,3571;1,3094;0,0074;0,9979;-0,0644;0,2436;-0,2538;0,1451;0,1444;0,3947;-0,9074;0,2838;0,2231;0,9326;-2,5130;1,7350;1,8890;1;954,7783;1.871,1240;0,7188;0
17;08-04-2022 18:17:13 738;-2,0812;1,3571;1,3095;0,0063;0,9979;-0,0646;0,2432;-0,2539;0,1453;0,1458;0,3949;-0,9071;0,2729;0,2181;0,9370;-2,5130;1,7350;1,8890;1;954,0146;1.871,9400;0,7185;0
18;08-04-2022 18:17:13 753;-2,0813;1,3571;1,3096;0,0056;0,9979;-0,0647;0,2428;-0,2540;0,1456;0,1471;0,3949;-0,9069;0,2783;0,2227;0,9343;-2,5130;1,7350;1,8890;1;953,0322;1.872,5060;0,7181;0
19;08-04-2022 18:17:13 762;-2,0812;1,3571;1,3097;0,0051;0,9979;-0,0644;0,2425;-0,2540;0,1459;0,1473;0,3952;-0,9067;0,2737;0,2247;0,9352;-2,5130;1,7350;1,8890;1;951,5574;1.873,4120;0,7176;0
20;08-04-2022 18:17:13 771;-2,0810;1,3571;1,3097;0,0052;0,9979;-0,0642;0,2420;-0,2538;0,1463;0,1474;0,3954;-0,9066;0,2771;0,2237;0,9344;-2,5130;1,7350;1,8890;1;949,6703;1.873,7080;0,7174;0
21;08-04-2022 18:17:13 781;-2,0809;1,3570;1,3098;0,0053;0,9980;-0,0637;0,2416;-0,2536;0,1467;0,1467;0,3955;-0,9067;0,2786;0,2217;0,9344;-2,5130;1,7350;1,8890;1;947,7265;1.874,5980;0,7169;0
22;08-04-2022 18:17:13 792;-2,0808;1,3570;1,3099;0,0048;0,9980;-0,0632;0,2411;-0,2534;0,1472;0,1462;0,3956;-0,9067;0,2815;0,2227;0,9333;-2,5130;1,7350;1,8890;1;946,1298;1.875,7970;0,7164;0
23;08-04-2022 18:17:13 803;-2,0807;1,3569;1,3100;0,0044;0,9980;-0,0629;0,2408;-0,2534;0,1475;0,1459;0,3955;-0,9068;0,2811;0,2216;0,9337;-2,5130;1,7350;1,8890;1;944,4067;1.876,7440;0,7160;0
24;08-04-2022 18:17:13 814;-2,0804;1,3568;1,3101;0,0039;0,9980;-0,0623;0,2405;-0,2534;0,1478;0,1463;0,3950;-0,9070;0,2812;0,2224;0,9335;-2,5130;1,7350;1,8890;1;942,5974;1.877,9460;0,7156;0
25;08-04-2022 18:17:13 825;-2,0802;1,3568;1,3101;0,0034;0,9981;-0,0618;0,2400;-0,2532;0,1483;0,1469;0,3944;-0,9071;0,2807;0,2228;0,9335;-2,5130;1,7350;1,8890;1;940,6600;1.879,2640;0,7150;0
26;08-04-2022 18:17:13 837;-2,0802;1,3567;1,3102;0,0029;0,9981;-0,0613;0,2397;-0,2530;0,1486;0,1471;0,3943;-0,9071;0,2813;0,2231;0,9333;-2,5130;1,7350;1,8890;1;939,2241;1.880,5010;0,7145;0
27;08-04-2022 18:17:13 847;-2,0801;1,3567;1,3103;0,0028;0,9981;-0,0608;0,2395;-0,2529;0,1489;0,1467;0,3944;-0,9072;0,2813;0,2231;0,9333;-2,5130;1,7350;1,8890;1;937,4901;1.881,4390;0,7140;0
28;08-04-2022 18:17:13 859;-2,0800;1,3567;1,3105;0,0026;0,9982;-0,0605;0,2392;-0,2529;0,1491;0,1461;0,3944;-0,9073;0,2909;0,2270;0,9294;-2,5130;1,7350;1,8890;1;935,9280;1.882,1970;0,7136;0
