frame;time;player_pos_x;player_pos_y;player_pos_z;player_up_x;player_up_y;player_up_z;rel_r_hand_x;rel_r_hand_y;rel_r_hand_z;r_hand_up_x;r_hand_up_y;r_hand_up_z;gaze_vec_x;gaze_vec_y;gaze_vec_z;gaze_p_x;gaze_p_y;gaze_p_z;obj_tag;gaze_to_screen_x;gaze_to_screen_y;gaze_to_screen_z;obj_interacted_with
23;08-04-2022 16:08:58 671;-2,0537;1,3232;1,4793;-0,0430;0,9763;0,2123;0,2101;-0,1136;0,3157;0,1900;0,6591;-0,7277;0,1245;-0,0615;0,9903;-2,5000;0,0000;2,5000;0;1.129,9240;541,2727;1,3636;0
24;08-04-2022 16:08:58 680;-2,0543;1,3228;1,4800;-0,0447;0,9758;0,2140;0,2099;-0,1131;0,3156;0,1915;0,6597;-0,7268;0,2000;0,3821;0,9022;-2,5000;0,0000;2,5000;0;1.130,2410;544,9116;1,3651;0
25;08-04-2022 16:08:58 689;-2,0545;1,3224;1,4805;-0,0463;0,9748;0,2180;0,2087;-0,1114;0,3161;0,1921;0,6607;-0,7256;0,2211;0,4436;0,8685;-5,0000;0,0000;2,5000;0;-100,9741;880,9791;2,0362;0
26;08-04-2022 16:08:58 699;-2,0550;1,3220;1,4810;-0,0477;0,9738;0,2225;0,2075;-0,1095;0,3169;0,1909;0,6610;-0,7257;0,2305;0,4604;0,8573;-5,0000;0,0000;2,5000;0;-104,2062;885,9265;2,0346;0
27;08-04-2022 16:08:58 708;-2,0553;1,3217;1,4814;-0,0499;0,9731;0,2248;0,2063;-0,1086;0,3176;0,1886;0,6617;-0,7257;0,2224;0,4577;0,8608;-5,0000;0,0000;2,5000;0;-110,1405;890,2039;2,0304;0
28;08-04-2022 16:08:58 719;-2,0559;1,3214;1,4815;-0,0519;0,9724;0,2273;0,2051;-0,1073;0,3185;0,1865;0,6623;-0,7256;0,2276;0,4621;0,8571;-5,0000;0,0000;2,5000;0;-114,3927;894,7668;2,0278;0
29;08-04-2022 16:08:58 731;-2,0561;1,3211;1,4818;-0,0536;0,9719;0,2291;0,2032;-0,1059;0,3191;0,1842;0,6628;-0,7258;0,0471;0,4862;0,8725;-2,5000;0,0000;2,5000;0;1.119,3540;573,2006;1,3793;0
30;08-04-2022 16:08:58 741;-2,0563;1,3211;1,4822;-0,0537;0,9717;0,2302;0,2023;-0,1049;0,3190;0,1829;0,6627;-0,7262;0,0497;0,4862;0,8724;-2,5000;0,0000;2,5000;0;1.119,0710;574,7874;1,3801;0
31;08-04-2022 16:08:58 753;-2,0567;1,3211;1,4825;-0,0538;0,9714;0,2313;0,2015;-0,1041;0,3192;0,1827;0,6631;-0,7259;0,1256;0,4929;0,8610;-2,5000;0,0000;2,5000;0;1.117,8910;576,1313;1,3806;0
32;08-04-2022 16:08:58 763;-2,0567;1,3212;1,4828;-0,0544;0,9711;0,2324;0,2001;-0,1029;0,3192;0,1839;0,6615;-0,7271;0,1310;-0,0433;0,9904;-2,5000;0,0000;2,5000;0;1.115,3380;577,8057;1,3812;0
